TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:32:52.707836;50; ;-3.11064e-07
2026-01-22 14:32:53.354518;250; ;-1.70992e-06
2026-01-22 14:32:54.019838;450; ;-3.45708e-06
2026-01-22 14:32:54.675363;650; ;-3.01377e-06
2026-01-22 14:32:55.344154;850; ;-2.06755e-06
2026-01-22 14:32:56.000519;1050; ;-1.83844e-06
2026-01-22 14:32:56.665492;1250; ;-2.46057e-06
2026-01-22 14:32:57.321544;1450; ;-3.13671e-06
2026-01-22 14:32:57.973744;1650; ;-2.76977e-06
2026-01-22 14:32:58.631172;1850; ;-2.03589e-06
2026-01-22 14:32:59.289823;2050; ;-2.10667e-06
2026-01-22 14:32:59.960543;2250; ;-2.63193e-06
2026-01-22 14:33:00.616455;2450; ;-3.30435e-06
2026-01-22 14:33:01.275427;2650; ;-2.82378e-06
2026-01-22 14:33:01.939567;2850; ;-2.43449e-06
2026-01-22 14:33:02.604389;3050; ;-2.60399e-06
2026-01-22 14:33:03.257506;3250; ;-3.04171e-06
2026-01-22 14:33:03.920132;3450; ;-3.3714e-06
2026-01-22 14:33:04.580127;3650; ;-2.73997e-06
2026-01-22 14:33:05.230645;3850; ;-2.57233e-06
2026-01-22 14:33:05.898903;4050; ;-2.70271e-06
2026-01-22 14:33:06.560146;4250; ;-3.04171e-06
2026-01-22 14:33:07.229975;4450; ;-3.0324e-06
2026-01-22 14:33:07.898938;4650; ;-2.77722e-06
2026-01-22 14:33:08.568719;4850; ;-2.67664e-06
2026-01-22 14:33:09.242503;5050; ;-2.78281e-06
2026-01-22 14:33:09.908879;5250; ;-3.18886e-06
2026-01-22 14:33:10.590292;5450; ;-2.87035e-06
2026-01-22 14:33:11.251545;5650; ;-2.60027e-06
2026-01-22 14:33:11.919583;5850; ;-2.61331e-06
2026-01-22 14:33:12.599603;6050; ;-2.96721e-06
2026-01-22 14:33:13.268151;6250; ;-3.17024e-06
2026-01-22 14:33:13.930856;6450; ;-2.82006e-06
2026-01-22 14:33:14.603809;6650; ;-2.61331e-06
2026-01-22 14:33:15.276023;6850; ;-2.57978e-06
2026-01-22 14:33:15.936700;7050; ;-2.97838e-06
2026-01-22 14:33:16.603534;7250; ;-3.14602e-06
2026-01-22 14:33:17.272535;7450; ;-3.0622e-06
2026-01-22 14:33:17.939850;7650; ;-2.95044e-06
2026-01-22 14:33:18.606680;7850; ;-3.09201e-06
2026-01-22 14:33:19.281104;8050; ;-3.52228e-06
2026-01-22 14:33:19.938835;8250; ;-3.52228e-06
2026-01-22 14:33:20.621752;8450; ;-3.18328e-06
2026-01-22 14:33:21.306072;8650; ;-3.15161e-06
2026-01-22 14:33:21.972563;8850; ;-3.67129e-06
2026-01-22 14:33:22.654407;9050; ;-3.92462e-06
2026-01-22 14:33:23.315315;9250; ;-3.71599e-06
2026-01-22 14:33:24.002053;9450; ;-3.43846e-06
2026-01-22 14:33:24.664228;9650; ;-3.71599e-06
2026-01-22 14:33:25.353423;9850; ;-3.90413e-06
