TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:34:20.260127;50; ;-3.74393e-07
2026-01-22 14:34:20.917423;100; ;-7.80452e-07
2026-01-22 14:34:21.571152;150; ;-1.32621e-06
2026-01-22 14:34:22.223170;200; ;-1.87569e-06
2026-01-22 14:34:22.889744;250; ;-2.39165e-06
2026-01-22 14:34:23.547261;300; ;-2.79026e-06
2026-01-22 14:34:24.192532;350; ;-3.32856e-06
2026-01-22 14:34:24.848482;400; ;-3.7607e-06
2026-01-22 14:34:25.500643;450; ;-4.04011e-06
2026-01-22 14:34:26.158506;500; ;-4.28598e-06
2026-01-22 14:34:26.804757;550; ;-4.02148e-06
2026-01-22 14:34:27.464559;600; ;-3.45708e-06
2026-01-22 14:34:28.110649;650; ;-2.87221e-06
2026-01-22 14:34:28.763266;700; ;-2.29107e-06
2026-01-22 14:34:29.412878;750; ;-1.89991e-06
2026-01-22 14:34:30.067122;800; ;-1.72854e-06
2026-01-22 14:34:30.723494;850; ;-1.68384e-06
2026-01-22 14:34:31.385036;900; ;-1.66521e-06
2026-01-22 14:34:32.044709;950; ;-1.63914e-06
2026-01-22 14:34:32.691288;1000; ;-1.59443e-06
2026-01-22 14:34:33.360780;1050; ;-1.77511e-06
2026-01-22 14:34:34.002124;1100; ;-2.06569e-06
2026-01-22 14:34:34.650560;1150; ;-2.30783e-06
2026-01-22 14:34:35.302686;1200; ;-2.60027e-06
2026-01-22 14:34:35.961183;1250; ;-2.78094e-06
2026-01-22 14:34:36.616756;1300; ;-3.11436e-06
2026-01-22 14:34:37.263309;1350; ;-3.21494e-06
2026-01-22 14:34:37.914845;1400; ;-3.48875e-06
2026-01-22 14:34:38.581226;1450; ;-3.77932e-06
2026-01-22 14:34:39.225795;1500; ;-3.70109e-06
2026-01-22 14:34:39.889018;1550; ;-3.47012e-06
2026-01-22 14:34:40.559312;1600; ;-3.01377e-06
2026-01-22 14:34:41.221664;1650; ;-2.61331e-06
2026-01-22 14:34:41.872345;1700; ;-2.34881e-06
2026-01-22 14:34:42.522984;1750; ;-2.13647e-06
2026-01-22 14:34:43.174279;1800; ;-2.09549e-06
2026-01-22 14:34:43.826476;1850; ;-2.06383e-06
2026-01-22 14:34:44.493677;1900; ;-1.94462e-06
2026-01-22 14:34:45.140847;1950; ;-1.95207e-06
2026-01-22 14:34:45.803692;2000; ;-2.03775e-06
2026-01-22 14:34:46.458143;2050; ;-2.17e-06
2026-01-22 14:34:47.112226;2100; ;-2.51645e-06
2026-01-22 14:34:47.768234;2150; ;-2.62448e-06
2026-01-22 14:34:48.425276;2200; ;-2.753e-06
2026-01-22 14:34:49.074988;2250; ;-3.00632e-06
2026-01-22 14:34:49.735019;2300; ;-3.14788e-06
2026-01-22 14:34:50.389822;2350; ;-3.36581e-06
2026-01-22 14:34:51.041677;2400; ;-3.58561e-06
2026-01-22 14:34:51.696115;2450; ;-3.62472e-06
2026-01-22 14:34:52.352201;2500; ;-3.50551e-06
2026-01-22 14:34:53.005871;2550; ;-3.282e-06
2026-01-22 14:34:53.670940;2600; ;-2.99701e-06
2026-01-22 14:34:54.321528;2650; ;-2.49968e-06
2026-01-22 14:34:54.982707;2700; ;-2.36557e-06
2026-01-22 14:34:55.635007;2750; ;-2.40841e-06
2026-01-22 14:34:56.292379;2800; ;-2.22215e-06
2026-01-22 14:34:56.966216;2850; ;-2.18676e-06
2026-01-22 14:34:57.620954;2900; ;-2.19235e-06
2026-01-22 14:34:58.290633;2950; ;-2.42332e-06
2026-01-22 14:34:58.951018;3000; ;-2.28175e-06
2026-01-22 14:34:59.620843;3050; ;-2.5239e-06
2026-01-22 14:35:00.278101;3100; ;-2.69526e-06
2026-01-22 14:35:00.929863;3150; ;-2.89084e-06
2026-01-22 14:35:01.582098;3200; ;-3.01005e-06
2026-01-22 14:35:02.249707;3250; ;-3.14788e-06
2026-01-22 14:35:02.910547;3300; ;-3.28945e-06
2026-01-22 14:35:03.572831;3350; ;-3.3714e-06
2026-01-22 14:35:04.235148;3400; ;-3.48689e-06
2026-01-22 14:35:04.892760;3450; ;-3.3863e-06
2026-01-22 14:35:05.566746;3500; ;-3.08828e-06
2026-01-22 14:35:06.229621;3550; ;-2.98211e-06
2026-01-22 14:35:06.883680;3600; ;-2.58723e-06
2026-01-22 14:35:07.551676;3650; ;-2.4438e-06
2026-01-22 14:35:08.203595;3700; ;-2.44008e-06
2026-01-22 14:35:08.881836;3750; ;-2.36744e-06
2026-01-22 14:35:09.544656;3800; ;-2.30969e-06
2026-01-22 14:35:10.203109;3850; ;-2.31715e-06
2026-01-22 14:35:10.879550;3900; ;-2.46243e-06
2026-01-22 14:35:11.549325;3950; ;-2.29107e-06
2026-01-22 14:35:12.197280;4000; ;-2.31901e-06
2026-01-22 14:35:12.861356;4050; ;-2.82937e-06
2026-01-22 14:35:13.534172;4100; ;-2.95417e-06
2026-01-22 14:35:14.217409;4150; ;-3.05662e-06
2026-01-22 14:35:14.876893;4200; ;-3.14975e-06
2026-01-22 14:35:15.542588;4250; ;-3.22053e-06
2026-01-22 14:35:16.193343;4300; ;-3.39375e-06
2026-01-22 14:35:16.855456;4350; ;-3.42169e-06
2026-01-22 14:35:17.513757;4400; ;-3.30435e-06
2026-01-22 14:35:18.193791;4450; ;-3.0771e-06
2026-01-22 14:35:18.864086;4500; ;-2.91878e-06
2026-01-22 14:35:19.550640;4550; ;-2.90947e-06
2026-01-22 14:35:20.214140;4600; ;-2.68781e-06
2026-01-22 14:35:20.869452;4650; ;-2.52576e-06
2026-01-22 14:35:21.530742;4700; ;-2.6636e-06
2026-01-22 14:35:22.198706;4750; ;-2.4941e-06
2026-01-22 14:35:22.869141;4800; ;-2.44939e-06
2026-01-22 14:35:23.529534;4850; ;-2.54439e-06
2026-01-22 14:35:24.190468;4900; ;-2.58909e-06
2026-01-22 14:35:24.855240;4950; ;-2.6785e-06
2026-01-22 14:35:25.507738;5000; ;-2.72693e-06
2026-01-22 14:35:26.189879;5050; ;-2.82565e-06
2026-01-22 14:35:26.846451;5100; ;-3.12926e-06
2026-01-22 14:35:27.523240;5150; ;-3.31552e-06
2026-01-22 14:35:28.183919;5200; ;-3.53904e-06
2026-01-22 14:35:28.841932;5250; ;-3.49434e-06
2026-01-22 14:35:29.511364;5300; ;-3.55208e-06
2026-01-22 14:35:30.171870;5350; ;-3.62472e-06
2026-01-22 14:35:30.839805;5400; ;-3.42356e-06
2026-01-22 14:35:31.512885;5450; ;-3.39189e-06
2026-01-22 14:35:32.179005;5500; ;-3.17582e-06
2026-01-22 14:35:32.849207;5550; ;-2.83124e-06
2026-01-22 14:35:33.502578;5600; ;-2.8331e-06
2026-01-22 14:35:34.179955;5650; ;-2.8033e-06
2026-01-22 14:35:34.853018;5700; ;-2.82378e-06
2026-01-22 14:35:35.521921;5750; ;-2.66173e-06
2026-01-22 14:35:36.192693;5800; ;-2.6487e-06
2026-01-22 14:35:36.858867;5850; ;-2.62262e-06
