TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:43:53.795572;50; ;-4.47037e-08
2026-01-22 14:43:54.454014;100; ;-1.06171e-07
2026-01-22 14:43:55.096978;150; ;-2.06755e-07
2026-01-22 14:43:55.741702;200; ;-1.91853e-07
2026-01-22 14:43:56.392154;250; ;-3.83707e-07
2026-01-22 14:43:57.045610;300; ;-3.50179e-07
2026-01-22 14:43:57.699762;350; ;-4.78703e-07
2026-01-22 14:43:58.344226;400; ;-6.22127e-07
2026-01-22 14:43:58.999056;450; ;-6.57517e-07
2026-01-22 14:43:59.642582;500; ;-6.64968e-07
2026-01-22 14:44:00.289107;550; ;-5.81149e-07
2026-01-22 14:44:00.932809;600; ;-6.57517e-07
2026-01-22 14:44:01.578009;650; ;-8.32606e-07
2026-01-22 14:44:02.237261;700; ;-7.56238e-07
2026-01-22 14:44:02.881641;750; ;-8.23293e-07
2026-01-22 14:44:03.537881;800; ;-8.71722e-07
2026-01-22 14:44:04.200597;850; ;-1.02446e-06
2026-01-22 14:44:04.839092;900; ;-1.01329e-06
2026-01-22 14:44:05.491273;950; ;-1.0226e-06
2026-01-22 14:44:06.136500;1000; ;-1.05426e-06
2026-01-22 14:44:06.776197;1050; ;-9.96522e-07
2026-01-22 14:44:07.420613;1100; ;-1.09338e-06
2026-01-22 14:44:08.068210;1150; ;-1.21818e-06
2026-01-22 14:44:08.719186;1200; ;-1.13808e-06
2026-01-22 14:44:09.373000;1250; ;-1.12877e-06
2026-01-22 14:44:10.031474;1300; ;-1.04868e-06
2026-01-22 14:44:10.671442;1350; ;-1.08779e-06
2026-01-22 14:44:11.324997;1400; ;-1.31131e-06
2026-01-22 14:44:11.980103;1450; ;-1.24425e-06
2026-01-22 14:44:12.630305;1500; ;-1.22563e-06
2026-01-22 14:44:13.285578;1550; ;-1.20141e-06
2026-01-22 14:44:13.936063;1600; ;-1.30386e-06
2026-01-22 14:44:14.591300;1650; ;-1.32435e-06
2026-01-22 14:44:15.237685;1700; ;-1.30758e-06
2026-01-22 14:44:15.893903;1750; ;-1.20328e-06
2026-01-22 14:44:16.544719;1800; ;-1.28523e-06
2026-01-22 14:44:17.190305;1850; ;-1.26102e-06
2026-01-22 14:44:17.845951;1900; ;-1.17906e-06
2026-01-22 14:44:18.490065;1950; ;-1.13995e-06
2026-01-22 14:44:19.139980;2000; ;-1.28896e-06
2026-01-22 14:44:19.796727;2050; ;-1.11946e-06
2026-01-22 14:44:20.448613;2100; ;-1.1623e-06
2026-01-22 14:44:21.100546;2150; ;-1.23494e-06
2026-01-22 14:44:21.753073;2200; ;-1.00211e-06
2026-01-22 14:44:22.403814;2250; ;-1.00211e-06
2026-01-22 14:44:23.047953;2300; ;-1.03936e-06
2026-01-22 14:44:23.695809;2350; ;-9.46227e-07
2026-01-22 14:44:24.340367;2400; ;-9.35052e-07
2026-01-22 14:44:24.989426;2450; ;-9.46227e-07
2026-01-22 14:44:25.638799;2500; ;-8.17705e-07
2026-01-22 14:44:26.295773;2550; ;-8.43782e-07
2026-01-22 14:44:26.954325;2600; ;-8.67996e-07
2026-01-22 14:44:27.597737;2650; ;-8.71722e-07
2026-01-22 14:44:28.248999;2700; ;-8.12117e-07
2026-01-22 14:44:28.889982;2750; ;-8.25155e-07
2026-01-22 14:44:29.549546;2800; ;-7.41336e-07
2026-01-22 14:44:30.204933;2850; ;-8.36331e-07
2026-01-22 14:44:30.855210;2900; ;-7.24573e-07
2026-01-22 14:44:31.499628;2950; ;-7.45062e-07
2026-01-22 14:44:32.154292;3000; ;-6.89182e-07
2026-01-22 14:44:32.800999;3050; ;-6.98496e-07
2026-01-22 14:44:33.449359;3100; ;-6.68693e-07
2026-01-22 14:44:34.093479;3150; ;-7.56238e-07
2026-01-22 14:44:34.755589;3200; ;-6.81732e-07
2026-01-22 14:44:35.399131;3250; ;-7.82315e-07
2026-01-22 14:44:36.052795;3300; ;-8.58683e-07
2026-01-22 14:44:36.709027;3350; ;-7.95353e-07
2026-01-22 14:44:37.357275;3400; ;-6.64968e-07
2026-01-22 14:44:38.001805;3450; ;-8.23293e-07
2026-01-22 14:44:38.650236;3500; ;-8.32606e-07
2026-01-22 14:44:39.291986;3550; ;-6.98496e-07
2026-01-22 14:44:39.943400;3600; ;-7.73001e-07
2026-01-22 14:44:40.588756;3650; ;-7.76727e-07
2026-01-22 14:44:41.242326;3700; ;-8.86623e-07
2026-01-22 14:44:41.899931;3750; ;-8.5682e-07
2026-01-22 14:44:42.544079;3800; ;-8.25155e-07
2026-01-22 14:44:43.201433;3850; ;-8.54958e-07
2026-01-22 14:44:43.847637;3900; ;-8.99661e-07
2026-01-22 14:44:44.504360;3950; ;-8.88485e-07
2026-01-22 14:44:45.150832;4000; ;-8.4937e-07
2026-01-22 14:44:45.799137;4050; ;-1.00025e-06
2026-01-22 14:44:46.446530;4100; ;-9.31326e-07
2026-01-22 14:44:47.090489;4150; ;-9.31326e-07
2026-01-22 14:44:47.741469;4200; ;-8.94073e-07
2026-01-22 14:44:48.389405;4250; ;-9.16425e-07
2026-01-22 14:44:49.039606;4300; ;-9.89072e-07
2026-01-22 14:44:49.696539;4350; ;-9.90934e-07
2026-01-22 14:44:50.349905;4400; ;-9.79759e-07
2026-01-22 14:44:50.998361;4450; ;-1.01701e-06
2026-01-22 14:44:51.651165;4500; ;-1.02632e-06
2026-01-22 14:44:52.305653;4550; ;-1.01887e-06
2026-01-22 14:44:52.949675;4600; ;-1.04495e-06
2026-01-22 14:44:53.628385;4650; ;-9.57407e-07
2026-01-22 14:44:54.268992;4700; ;-1.16044e-06
2026-01-22 14:44:54.932694;4750; ;-1.19583e-06
2026-01-22 14:44:55.582380;4800; ;-1.0673e-06
2026-01-22 14:44:56.231083;4850; ;-1.09338e-06
2026-01-22 14:44:56.879351;4900; ;-1.03191e-06
2026-01-22 14:44:57.536536;4950; ;-1.17534e-06
2026-01-22 14:44:58.180985;5000; ;-1.22563e-06
2026-01-22 14:44:58.834594;5050; ;-1.1623e-06
2026-01-22 14:44:59.492482;5100; ;-1.19583e-06
2026-01-22 14:45:00.145407;5150; ;-1.07848e-06
2026-01-22 14:45:00.794263;5200; ;-1.16975e-06
2026-01-22 14:45:01.446673;5250; ;-1.12504e-06
2026-01-22 14:45:02.097957;5300; ;-1.207e-06
2026-01-22 14:45:02.757301;5350; ;-1.18651e-06
2026-01-22 14:45:03.403974;5400; ;-1.10083e-06
2026-01-22 14:45:04.060681;5450; ;-1.07848e-06
2026-01-22 14:45:04.705693;5500; ;-1.10083e-06
2026-01-22 14:45:05.349700;5550; ;-1.15671e-06
2026-01-22 14:45:06.012237;5600; ;-1.01142e-06
2026-01-22 14:45:06.651114;5650; ;-9.36914e-07
2026-01-22 14:45:07.307094;5700; ;-9.55544e-07
2026-01-22 14:45:07.960317;5750; ;-9.4809e-07
2026-01-22 14:45:08.616617;5800; ;-9.70445e-07
2026-01-22 14:45:09.267501;5850; ;-9.40639e-07
2026-01-22 14:45:09.921049;5900; ;-8.73584e-07
2026-01-22 14:45:10.588997;5950; ;-9.51815e-07
2026-01-22 14:45:11.239612;6000; ;-9.49953e-07
2026-01-22 14:45:11.894412;6050; ;-9.03387e-07
2026-01-22 14:45:12.546465;6100; ;-9.127e-07
2026-01-22 14:45:13.211396;6150; ;-7.52512e-07
2026-01-22 14:45:13.854368;6200; ;-8.81035e-07
2026-01-22 14:45:14.512768;6250; ;-9.5927e-07
2026-01-22 14:45:15.162647;6300; ;-8.86623e-07
2026-01-22 14:45:15.809445;6350; ;-8.25155e-07
2026-01-22 14:45:16.471076;6400; ;-8.2143e-07
2026-01-22 14:45:17.129212;6450; ;-8.27018e-07
2026-01-22 14:45:17.787868;6500; ;-8.04666e-07
2026-01-22 14:45:18.436613;6550; ;-7.76727e-07
2026-01-22 14:45:19.094925;6600; ;-9.03387e-07
2026-01-22 14:45:19.751099;6650; ;-8.25155e-07
2026-01-22 14:45:20.412400;6700; ;-9.16425e-07
2026-01-22 14:45:21.072194;6750; ;-8.36331e-07
2026-01-22 14:45:21.727998;6800; ;-8.67996e-07
2026-01-22 14:45:22.383282;6850; ;-9.38777e-07
2026-01-22 14:45:23.040051;6900; ;-8.86623e-07
2026-01-22 14:45:23.687101;6950; ;-7.76727e-07
2026-01-22 14:45:24.351072;7000; ;-8.81035e-07
2026-01-22 14:45:25.009972;7050; ;-9.77896e-07
2026-01-22 14:45:25.671752;7100; ;-8.53095e-07
2026-01-22 14:45:26.331337;7150; ;-1.01329e-06
2026-01-22 14:45:26.983318;7200; ;-1.06544e-06
2026-01-22 14:45:27.644488;7250; ;-1.01701e-06
2026-01-22 14:45:28.312849;7300; ;-9.42502e-07
2026-01-22 14:45:28.962609;7350; ;-9.57407e-07
2026-01-22 14:45:29.623287;7400; ;-9.4809e-07
2026-01-22 14:45:30.278860;7450; ;-9.96522e-07
2026-01-22 14:45:30.930776;7500; ;-1.07289e-06
2026-01-22 14:45:31.587380;7550; ;-1.00211e-06
2026-01-22 14:45:32.256366;7600; ;-1.11759e-06
2026-01-22 14:45:32.896962;7650; ;-1.0524e-06
2026-01-22 14:45:33.555416;7700; ;-9.83484e-07
2026-01-22 14:45:34.227952;7750; ;-9.90934e-07
2026-01-22 14:45:34.889007;7800; ;-1.10269e-06
2026-01-22 14:45:35.537195;7850; ;-1.19769e-06
2026-01-22 14:45:36.195487;7900; ;-1.16975e-06
2026-01-22 14:45:36.866829;7950; ;-1.06544e-06
2026-01-22 14:45:37.518962;8000; ;-1.06172e-06
2026-01-22 14:45:38.179344;8050; ;-1.18837e-06
2026-01-22 14:45:38.845765;8100; ;-1.1921e-06
2026-01-22 14:45:39.489648;8150; ;-1.20141e-06
2026-01-22 14:45:40.156990;8200; ;-1.22563e-06
2026-01-22 14:45:40.807891;8250; ;-1.09711e-06
2026-01-22 14:45:41.458934;8300; ;-1.14181e-06
2026-01-22 14:45:42.110700;8350; ;-1.15671e-06
2026-01-22 14:45:42.769785;8400; ;-1.1921e-06
2026-01-22 14:45:43.421167;8450; ;-1.23122e-06
2026-01-22 14:45:44.075402;8500; ;-1.22004e-06
2026-01-22 14:45:44.730379;8550; ;-1.23867e-06
2026-01-22 14:45:45.378727;8600; ;-1.24798e-06
2026-01-22 14:45:46.042058;8650; ;-1.24612e-06
2026-01-22 14:45:46.696460;8700; ;-1.24612e-06
2026-01-22 14:45:47.351171;8750; ;-1.3318e-06
2026-01-22 14:45:48.002116;8800; ;-1.25357e-06
2026-01-22 14:45:48.649896;8850; ;-1.28337e-06
2026-01-22 14:45:49.299839;8900; ;-1.37836e-06
2026-01-22 14:45:49.960175;8950; ;-1.29641e-06
2026-01-22 14:45:50.612720;9000; ;-1.27219e-06
2026-01-22 14:45:51.269920;9050; ;-1.31131e-06
2026-01-22 14:45:51.924363;9100; ;-1.3318e-06
2026-01-22 14:45:52.597177;9150; ;-1.3765e-06
2026-01-22 14:45:53.253531;9200; ;-1.2368e-06
2026-01-22 14:45:53.904905;9250; ;-1.09338e-06
2026-01-22 14:45:54.570670;9300; ;-1.15671e-06
2026-01-22 14:45:55.223760;9350; ;-1.28896e-06
2026-01-22 14:45:55.878887;9400; ;-1.19769e-06
2026-01-22 14:45:56.542147;9450; ;-1.30572e-06
2026-01-22 14:45:57.196764;9500; ;-1.30013e-06
2026-01-22 14:45:57.854818;9550; ;-1.30758e-06
2026-01-22 14:45:58.520891;9600; ;-1.25729e-06
2026-01-22 14:45:59.168333;9650; ;-1.30013e-06
2026-01-22 14:45:59.831367;9700; ;-1.22004e-06
2026-01-22 14:46:00.490513;9750; ;-1.23122e-06
2026-01-22 14:46:01.143002;9800; ;-1.20514e-06
2026-01-22 14:46:01.810084;9850; ;-1.26102e-06
2026-01-22 14:46:02.453498;9900; ;-1.25543e-06
2026-01-22 14:46:03.109370;9950; ;-1.18092e-06
