TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:50:35.469709;50; ;-7.91628e-07
2026-01-22 14:50:36.116036;100; ;-1.47895e-06
2026-01-22 14:50:36.764552;150; ;-2.64497e-06
2026-01-22 14:50:37.424574;200; ;-3.47199e-06
2026-01-22 14:50:38.082444;250; ;-4.30274e-06
2026-01-22 14:50:38.735826;300; ;-5.33278e-06
2026-01-22 14:50:39.377670;350; ;-5.80962e-06
2026-01-22 14:50:40.030549;400; ;-5.36258e-06
2026-01-22 14:50:40.691052;450; ;-4.02334e-06
2026-01-22 14:50:41.338574;500; ;-3.03985e-06
2026-01-22 14:50:41.998339;550; ;-2.28175e-06
2026-01-22 14:50:42.644646;600; ;-1.84403e-06
2026-01-22 14:50:43.299756;650; ;-1.89618e-06
2026-01-22 14:50:43.948184;700; ;-2.07314e-06
2026-01-22 14:50:44.602499;750; ;-2.37489e-06
2026-01-22 14:50:45.252936;800; ;-2.79584e-06
2026-01-22 14:50:45.911966;850; ;-3.46826e-06
2026-01-22 14:50:46.563554;900; ;-4.0606e-06
2026-01-22 14:50:47.211669;950; ;-4.58027e-06
2026-01-22 14:50:47.857862;1000; ;-4.95839e-06
2026-01-22 14:50:48.513297;1050; ;-5.02545e-06
2026-01-22 14:50:49.152785;1100; ;-4.43312e-06
2026-01-22 14:50:49.813584;1150; ;-3.46826e-06
2026-01-22 14:50:50.451434;1200; ;-2.88339e-06
2026-01-22 14:50:51.104884;1250; ;-2.54439e-06
2026-01-22 14:50:51.752669;1300; ;-2.34322e-06
2026-01-22 14:50:52.420501;1350; ;-2.45871e-06
2026-01-22 14:50:53.061517;1400; ;-2.65428e-06
2026-01-22 14:50:53.712086;1450; ;-2.97838e-06
2026-01-22 14:50:54.373344;1500; ;-3.34719e-06
2026-01-22 14:50:55.041181;1550; ;-3.88364e-06
2026-01-22 14:50:55.695927;1600; ;-4.20774e-06
2026-01-22 14:50:56.338523;1650; ;-4.61939e-06
2026-01-22 14:50:57.000786;1700; ;-4.89506e-06
2026-01-22 14:50:57.660889;1750; ;-4.65292e-06
2026-01-22 14:50:58.330877;1800; ;-4.03452e-06
2026-01-22 14:50:58.989149;1850; ;-3.35091e-06
2026-01-22 14:50:59.646631;1900; ;-2.82006e-06
2026-01-22 14:51:00.313350;1950; ;-2.62634e-06
2026-01-22 14:51:00.969760;2000; ;-2.78839e-06
2026-01-22 14:51:01.619548;2050; ;-2.89643e-06
2026-01-22 14:51:02.278751;2100; ;-3.18328e-06
2026-01-22 14:51:02.937212;2150; ;-3.35464e-06
2026-01-22 14:51:03.598173;2200; ;-3.65266e-06
2026-01-22 14:51:04.271805;2250; ;-3.95442e-06
2026-01-22 14:51:04.931375;2300; ;-4.49087e-06
2026-01-22 14:51:05.589493;2350; ;-4.67527e-06
2026-01-22 14:51:06.238692;2400; ;-4.56165e-06
2026-01-22 14:51:06.893121;2450; ;-4.33999e-06
2026-01-22 14:51:07.568037;2500; ;-3.7756e-06
2026-01-22 14:51:08.219270;2550; ;-3.25033e-06
2026-01-22 14:51:08.880440;2600; ;-2.92996e-06
2026-01-22 14:51:09.561000;2650; ;-2.86663e-06
2026-01-22 14:51:10.206985;2700; ;-2.91133e-06
2026-01-22 14:51:10.867540;2750; ;-3.13671e-06
2026-01-22 14:51:11.539409;2800; ;-3.24102e-06
2026-01-22 14:51:12.194283;2850; ;-3.40866e-06
2026-01-22 14:51:12.865539;2900; ;-3.66943e-06
2026-01-22 14:51:13.515832;2950; ;-4.12951e-06
2026-01-22 14:51:14.188651;3000; ;-4.49459e-06
2026-01-22 14:51:14.836568;3050; ;-4.57655e-06
2026-01-22 14:51:15.499768;3100; ;-4.77399e-06
2026-01-22 14:51:16.164638;3150; ;-4.03079e-06
2026-01-22 14:51:16.826686;3200; ;-3.71227e-06
2026-01-22 14:51:17.477652;3250; ;-3.43473e-06
2026-01-22 14:51:18.131336;3300; ;-3.2317e-06
2026-01-22 14:51:18.799758;3350; ;-3.3118e-06
2026-01-22 14:51:19.462141;3400; ;-3.29503e-06
2026-01-22 14:51:20.119113;3450; ;-3.44963e-06
2026-01-22 14:51:20.790328;3500; ;-3.57629e-06
2026-01-22 14:51:21.436378;3550; ;-3.80167e-06
2026-01-22 14:51:22.111118;3600; ;-4.08667e-06
2026-01-22 14:51:22.761255;3650; ;-4.74605e-06
