TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 15:02:17.485765;50; ;-6.38891e-07
2026-01-22 15:02:18.636433;250; ;-6.72419e-07
2026-01-22 15:02:19.805389;450; ;-7.07809e-07
2026-01-22 15:02:20.963265;650; ;-7.45062e-07
2026-01-22 15:02:22.108541;850; ;-7.33886e-07
2026-01-22 15:02:23.274940;1050; ;-7.30161e-07
2026-01-22 15:02:24.440053;1250; ;-7.97216e-07
2026-01-22 15:02:25.586594;1450; ;-9.03387e-07
2026-01-22 15:02:26.754700;1650; ;-7.41336e-07
2026-01-22 15:02:27.918976;1850; ;-4.76841e-07
2026-01-22 15:02:29.083752;2050; ;-1.24798e-07
2026-01-22 15:02:30.244088;2250; ;1.67639e-08
2026-01-22 15:02:31.389740;2450; ;-9.87206e-08
2026-01-22 15:02:32.550904;2650; ;-3.20377e-07
2026-01-22 15:02:33.725584;2850; ;-5.73698e-07
2026-01-22 15:02:34.887406;3050; ;-6.89182e-07
2026-01-22 15:02:36.041772;3250; ;-8.10254e-07
2026-01-22 15:02:37.213377;3450; ;-8.75447e-07
2026-01-22 15:02:38.375375;3650; ;-8.73584e-07
2026-01-22 15:02:39.532991;3850; ;-9.16425e-07
2026-01-22 15:02:40.702328;4050; ;-9.61132e-07
2026-01-22 15:02:41.864141;4250; ;-9.18288e-07
2026-01-22 15:02:43.030690;4450; ;-9.03387e-07
2026-01-22 15:02:44.180361;4650; ;-8.71722e-07
2026-01-22 15:02:45.334420;4850; ;-9.18288e-07
2026-01-22 15:02:46.493903;5050; ;-9.44365e-07
2026-01-22 15:02:47.658923;5250; ;-9.64857e-07
2026-01-22 15:02:48.819448;5450; ;-9.35052e-07
2026-01-22 15:02:49.970833;5650; ;-8.69859e-07
2026-01-22 15:02:51.125001;5850; ;-8.86623e-07
2026-01-22 15:02:52.283437;6050; ;-9.25738e-07
2026-01-22 15:02:53.431371;6250; ;-9.31326e-07
2026-01-22 15:02:54.595118;6450; ;-8.5682e-07
2026-01-22 15:02:55.753481;6650; ;-7.89765e-07
2026-01-22 15:02:56.926505;6850; ;-7.52512e-07
2026-01-22 15:02:58.071993;7050; ;-7.63688e-07
2026-01-22 15:02:59.244349;7250; ;-7.82315e-07
2026-01-22 15:03:00.408256;7450; ;-7.59963e-07
2026-01-22 15:03:01.567769;7650; ;-7.39474e-07
2026-01-22 15:03:02.750542;7850; ;-7.63688e-07
2026-01-22 15:03:03.919649;8050; ;-7.71139e-07
2026-01-22 15:03:05.088229;8250; ;-7.87903e-07
2026-01-22 15:03:06.251636;8450; ;-8.86623e-07
2026-01-22 15:03:07.417179;8650; ;-8.47507e-07
2026-01-22 15:03:08.598504;8850; ;-7.97216e-07
2026-01-22 15:03:09.759805;9050; ;-8.25155e-07
2026-01-22 15:03:10.923784;9250; ;-8.81035e-07
2026-01-22 15:03:12.079795;9450; ;-8.67996e-07
2026-01-22 15:03:13.240117;9650; ;-8.25155e-07
2026-01-22 15:03:14.403355;9850; ;-8.08392e-07
2026-01-22 15:03:15.570136;10050; ;-8.69859e-07
