TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 15:23:57.800030;200; ;9.5927e-07
2026-01-22 15:23:58.949569;400; ;1.01701e-06
2026-01-22 15:24:00.119583;600; ;1.05985e-06
2026-01-22 15:24:01.279228;800; ;1.02446e-06
2026-01-22 15:24:02.447254;1000; ;9.27601e-07
2026-01-22 15:24:03.615304;1200; ;7.39474e-07
2026-01-22 15:24:04.768975;1400; ;6.37028e-07
2026-01-22 15:24:05.944255;1600; ;5.38308e-07
2026-01-22 15:24:07.095051;1800; ;5.34583e-07
2026-01-22 15:24:08.248305;2000; ;4.43311e-07
2026-01-22 15:24:09.413972;2200; ;3.59492e-07
2026-01-22 15:24:10.567613;2400; ;2.79399e-07
2026-01-22 15:24:11.726080;2600; ;1.04309e-07
2026-01-22 15:24:12.886116;2800; ;1.49013e-08
2026-01-22 15:24:14.044702;3000; ;-1.30386e-08
2026-01-22 15:24:15.197833;3200; ;-1.30386e-07
2026-01-22 15:24:16.353212;3400; ;-1.97441e-07
2026-01-22 15:24:17.503176;3600; ;-2.86849e-07
2026-01-22 15:24:18.662580;3800; ;-3.24102e-07
2026-01-22 15:24:19.837049;4000; ;-3.63218e-07
2026-01-22 15:24:20.989594;4200; ;-4.45174e-07
2026-01-22 15:24:22.151947;4400; ;-3.76256e-07
2026-01-22 15:24:23.309492;4600; ;-4.84291e-07
2026-01-22 15:24:24.468925;4800; ;-4.99193e-07
2026-01-22 15:24:25.618115;5000; ;-5.10368e-07
2026-01-22 15:24:26.777001;5200; ;-5.3272e-07
2026-01-22 15:24:27.926091;5400; ;-6.68693e-07
2026-01-22 15:24:29.084464;5600; ;-6.22127e-07
2026-01-22 15:24:30.249998;5800; ;-6.18402e-07
2026-01-22 15:24:31.411547;6000; ;-5.71836e-07
2026-01-22 15:24:32.553328;6200; ;-5.62522e-07
2026-01-22 15:24:33.709697;6400; ;-5.81149e-07
2026-01-22 15:24:34.864588;6600; ;-6.01638e-07
2026-01-22 15:24:36.027281;6800; ;-6.66831e-07
2026-01-22 15:24:37.177129;7000; ;-6.51929e-07
2026-01-22 15:24:38.338733;7200; ;-6.50067e-07
2026-01-22 15:24:39.511311;7400; ;-5.97913e-07
2026-01-22 15:24:40.659363;7600; ;-5.84874e-07
2026-01-22 15:24:41.818519;7800; ;-6.33303e-07
2026-01-22 15:24:42.975750;8000; ;-7.11534e-07
2026-01-22 15:24:44.141805;8200; ;-7.35748e-07
2026-01-22 15:24:45.289523;8400; ;-6.18402e-07
2026-01-22 15:24:46.443473;8600; ;-6.35166e-07
2026-01-22 15:24:47.603428;8800; ;-7.13397e-07
2026-01-22 15:24:48.757909;9000; ;-6.10951e-07
2026-01-22 15:24:49.908962;9200; ;-5.77424e-07
2026-01-22 15:24:51.085167;9400; ;-6.44479e-07
2026-01-22 15:24:52.239430;9600; ;-5.79286e-07
2026-01-22 15:24:53.395536;9800; ;-5.99775e-07
2026-01-22 15:24:54.559928;10000; ;-5.73698e-07
