type,path,x0_GHz,gamma_MHz,amplitude,offset,f_MHz,tau_ns,phase,T2_ns,peak_ns,sigma_ns
ODMR,ALEXQUADRAT\ALEXQUADRAT\20260122_140241_cwODMR\setCounter_['0']\cwODMR.csv,2.869600624392144,4.980647177798663,-1.508073328930301e-05,1.9284400547051573e-07,,,,,,
ODMR,ALEXQUADRAT\ALEXQUADRAT\20260122_142107_cwODMR\setCounter_['0']\cwODMR_B0.csv,2.8761671290404425,5.686868832930539,-5.916493892223621e-06,-6.489187489405513e-07,,,,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_143242_Rabi\setCounter_['0']\Rabi.csv,,,2.0236263135378863e-06,-2.9047995835396803e-06,1.0611491537677795,1588.0953393083305,-0.5635536930331991,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_143410_Rabi\setCounter_['0']\Rabi_small.csv,,,1.4551461138946094e-06,-3.0361119324570223e-06,1.0541302284943996,4570.6064107391985,-0.21469705072254008,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_144020_Rabi\setCounter_['0']\Rabi_minus3.csv,,,1.3324951070369716e-06,-2.5333423034967588e-06,0.8378623397312315,4089.9854338294685,-0.1574202578311138,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_144344_Rabi\setCounter_['0']\Rabi_minus13.csv,,,6.413316667975001e-07,-1.0028551743132103e-06,0.2979134510007288,3375.644197592455,-0.09558216956976597,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_144702_Rabi\setCounter_['0']\Rabi_plus3.csv,,,1.7098563862797374e-06,-3.736439862140664e-06,1.264872649585381,4265.536817770286,-0.2560207015830497,,,
Rabi,ALEXQUADRAT\ALEXQUADRAT\20260122_145025_Rabi\setCounter_['0']\Rabi_plus7.csv,,,1.8940705375535517e-06,-4.135072622292057e-06,1.476444401779418,4252.054743141375,-0.029229413544238855,,,
HahnDecay,ALEXQUADRAT\ALEXQUADRAT\20260122_152347_Hahndecay\setCounter_['0']\Hahndecay.csv,,,2.2506267398306414e-06,-7.724218633972689e-07,,,,2653.5542136990225,,
HahnEchoPeak,ALEXQUADRAT\ALEXQUADRAT\20260122_150207_Hahnecho\setCounter_['0']\Hahnecho.csv,,,8.574551073190202e-07,-8.334001269816228e-07,,,,,2302.3084572273756,342.79052828090846
